Brand,Product Name,Price,Rating,Reviews,Image URL,Product Link
Decathlon,Quechua - Unisex NH Arpenaz 50 Hiking Backpacks 10 L,₹299,4.2,220,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/toyo/69165bee88d6d62ff8e6ae8f/decathlon_multi_quechua_-_unisex_nh_arpenaz_50_hiking_backpacks_10_l.jpg,https://www.ajio.com/decathlon-quechua--unisex-nh-arpenaz-50-hiking-backpacks-10-l/p/702221450_multi?
Priority,Unisex College Backpack with Laptop Sleeve- 37 L,₹704,4.4,86,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20260507/GJry/69fc2def14d0c21719c2f077/priority_blue_unisex_college_backpack_with_laptop_sleeve-_37_l.jpg,https://www.ajio.com/priority-unisex-college-backpack-with-laptop-sleeve-37-l/p/469810639_blue?
Skybags,Unisex Lumous 17 Inch Laptop Compatible Backpack with Front Pocket - 16L,₹823,4.2,565,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250305/QHew/67c807292960820c49d0020c/skybags_black_unisex_lumous_17_inch_laptop_compatible_backpack_with_front_pocket_-_16l.jpg,https://www.ajio.com/skybags-unisex-lumous-17-inch-laptop-compatible-backpack-with-front-pocket--16l/p/467095859_black?
Decathlon,Simond - Unisex MT100 Multiple Compartments Trekking Backpack 50 L,"₹3,099",3.8,17,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251113/w01h/6915d07da470c5082f8cbbd9/decathlon_black_simond_-_unisex_mt100_multiple_compartments_trekking_backpack_50_l.jpg,https://www.ajio.com/decathlon-simond--unisex-mt100-multiple-compartments-trekking-backpack-50-l/p/702221425_black?
ARISTOCRAT,Unisex Lava Laptop Compatible Backpack for Office Use - 25L,₹380,3.2,2.3K,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250916/Lqsd/68c91a663d468c61abf9585e/aristocrat_blue_unisex_lava_laptop_compatible_backpack_for_office_use_-_25l.jpg,https://www.ajio.com/aristocrat-unisex-lava-laptop-compatible-backpack-for-office-use--25l/p/702142548_blue?
Bagatt,Men Back Pack,"₹6,993",,,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241122/mV5i/67401819c148fa1b30df15bc/bagatt_black_men_back_pack.jpg,https://www.ajio.com/bagatt-men-back-pack/p/700781668_black?
SAFARI,Caden 25L Formal Laptop Backpack,"₹2,028",4.3,9,,https://www.ajio.com/safari-caden-25l-formal-laptop-backpack/p/703345696_black?
Priority,Women Flower Printed College Backpack - 22L,₹297,3.8,926,,https://www.ajio.com/priority-women-flower-printed-college-backpack---22l/p/466940022_grey?
The Souled Store,Spider-Man Classic Suit|Marvel™ - Men Printed Travel Backpack,"₹3,104",5,3,,https://www.ajio.com/the-souled-store-spider-man-classic-suit-marvel--men-printed-travel-backpack/p/703061055_blue?
Decathlon,Quechua - Unisex NH Arpenaz 50 Carrying Comfort Hiking Backpack 10 L,₹249,3.3,155,,https://www.ajio.com/decathlon-quechua--unisex-nh-arpenaz-50-carrying-comfort-hiking-backpack-10-l/p/703202421_blue?
Priority,Laptop Backpack with Dual Compartment - 41 L,₹551,4,88,,https://www.ajio.com/priority-laptop-backpack-with-dual-compartment--41-l/p/469810647_darkgrey?
EUME,Unisex PU Laptop Backpack,"₹6,650",,,,https://www.ajio.com/eume-unisex-pu-laptop-backpack/p/703486348_white?
Priority,Unisex College Backpack with Rain Cover- 37 L,₹768,4.6,16,,https://www.ajio.com/priority-unisex-college-backpack-with-rain-cover-37-l/p/469810632_black?
Puma,Summit Extra Large Rucksack,"₹2,220",3.9,46,,https://www.ajio.com/puma-summit-extra-large-rucksack/p/700189037_yellow?
EUME,Unisex Nylon Laptop Backpack,"₹8,998",,,,https://www.ajio.com/eume-unisex-nylon-laptop-backpack/p/703485948_brown?
Puma,Adventure Backpack,₹810,3.8,115,,https://www.ajio.com/puma-adventure-backpack/p/701575685_green?
SUPERDRY,Men Tarp Embroidered Rucksack Backpack,"₹5,052",4.5,123,,https://www.ajio.com/superdry-men-tarp-embroidered-rucksack-backpack/p/410500919_b4g?
ALDO,Men Braliwyn Backpack,"₹10,499",,,,https://www.ajio.com/aldo-men-braliwyn-backpack/p/702819138_black?
Puma,Storm Travel-Friendly Backpack,"₹1,799",4,22,,https://www.ajio.com/puma-storm-travel-friendly-backpack/p/703239564_brown?
Puma,SMASH Large Backpack,₹720,3.9,57,,https://www.ajio.com/puma-smash-large-backpack/p/701721167_grey?
KENNETH COLE,Versatile Back Pack With Laptop Compartment,"₹2,499",,,,https://www.ajio.com/kenneth-cole-versatile-back-pack-with-laptop-compartment/p/701580788_brown?
TOMMY HILFIGER,15'' Laptop Backpack with Signature Branding,"₹2,079",4.4,351,,https://www.ajio.com/tommy-hilfiger-15--laptop-backpack-with-signature-branding/p/460612652_navy?
Skybags,Unisex Nero Compatible Anti-Theft Laptop Backpack - 20L,₹871,3.9,132,,https://www.ajio.com/skybags-unisex-nero-compatible-anti-theft-laptop-backpack--20l/p/702346560_black?
KENNETH COLE,Men Laptop Back Pack,"₹3,000",,,,https://www.ajio.com/kenneth-cole-men-laptop-back-pack/p/701578684_black?
NETPLAY,Men Casual PU Everyday Backpack,"₹1,000",4.8,5,,https://www.ajio.com/netplay-men-casual-pu-everyday-backpack/p/443700764_brown?
Skybags,Unisex Vertex Travel Rucksack with Adjustable Strap & Side Pocket - 45L,₹999,4,43,,https://www.ajio.com/skybags-unisex-vertex-travel-rucksack-with-adjustable-strap--side-pocket--45l/p/467096272_blue?
The Souled Store,Venom Lethal|Marvel™ - Men Graphic Everyday Back Pack,"₹3,629",,,,https://www.ajio.com/the-souled-store-venom-lethal-marvel---men-graphic-everyday-back-pack/p/703152114_black?
Puma,Summit Extra Large Rucksack,"₹2,220",4,24,,https://www.ajio.com/puma-summit-extra-large-rucksack/p/700189857_red?
